__v,_id,className,day,name,profession,status,teacher,time,wday
0,6279295d9449e99793b991f9,ח1,03/04/2022,אמבר הרד,חשבון,evasion,חיים כהן,08:40,Sunday
0,6279295d9449e99793b991f8,ח1,03/04/2022,אגם בוחבוט,חשבון,present,חיים כהן,08:40,Sunday
0,6279295d9449e99793b991fa,ח1,03/04/2022,אנג׳לינה ג׳ולי,חשבון,present,חיים כהן,08:40,Sunday
0,6279295d9449e99793b991fe,ח1,03/04/2022,סיטארה אלייב,חשבון,present,חיים כהן,08:40,Sunday
0,6279295d9449e99793b991fd,ח1,03/04/2022,דודי ביטון,חשבון,home,חיים כהן,08:40,Sunday
0,6279295d9449e99793b991fc,ח1,03/04/2022,בר רפאלי,חשבון,evasion,חיים כהן,08:40,Sunday
0,6279295d9449e99793b991fb,ח1,03/04/2022,ביבי נתניהו,חשבון,present,חיים כהן,08:40,Sunday
0,6279295d9449e99793b99203,ח2,03/04/2022,דודו אהרון,אנגלית,present,עוז שלום,08:39,Sunday
0,6279295d9449e99793b99202,ח2,03/04/2022,ג׳סטין ביבר,אנגלית,present,עוז שלום,08:39,Sunday
0,6279295d9449e99793b99201,ח1,03/04/2022,שקד בן חמו,חשבון,present,חיים כהן,08:40,Sunday
0,6279295d9449e99793b991ff,ח1,03/04/2022,עדן מוזס,חשבון,home,חיים כהן,08:40,Sunday
0,6279295d9449e99793b99200,ח1,03/04/2022,עינב בן חמו,חשבון,present,חיים כהן,08:40,Sunday
0,6279295d9449e99793b99209,ח2,03/04/2022,ליאור אוחנה,אנגלית,home,עוז שלום,08:39,Sunday
0,6279295d9449e99793b99206,ח2,03/04/2022,יאיר לפיד,אנגלית,present,עוז שלום,08:39,Sunday
0,6279295d9449e99793b99207,ח2,03/04/2022,יהודית מנדלבוים,אנגלית,present,עוז שלום,08:39,Sunday
0,6279295d9449e99793b99208,ח2,03/04/2022,יעל בר זוהר,אנגלית,present,עוז שלום,08:39,Sunday
0,6279295d9449e99793b99205,ח2,03/04/2022,טל חדד,אנגלית,present,עוז שלום,08:39,Sunday
0,6279295d9449e99793b99204,ח2,03/04/2022,דונלד טראמפ,אנגלית,present,עוז שלום,08:39,Sunday
0,6279295d9449e99793b99210,ח3,03/04/2022,ג׳וני דפ,"תנ""ך",present,אלעד דהן,08:41,Sunday
0,6279295d9449e99793b9920b,ח2,03/04/2022,נועה קירל,אנגלית,present,עוז שלום,08:39,Sunday
0,6279295d9449e99793b9920f,ח3,03/04/2022,ג׳ו ביידן,"תנ""ך",present,אלעד דהן,08:41,Sunday
0,6279295d9449e99793b9920c,ח3,03/04/2022,אביחי ממן,"תנ""ך",present,אלעד דהן,08:41,Sunday
0,6279295d9449e99793b9920a,ח2,03/04/2022,מנדל שמעון עמר,אנגלית,home,עוז שלום,08:39,Sunday
0,6279295d9449e99793b9920d,ח3,03/04/2022,בראד פיט,"תנ""ך",present,אלעד דהן,08:41,Sunday
0,6279295d9449e99793b9920e,ח3,03/04/2022,ברק אובמה,"תנ""ך",present,אלעד דהן,08:41,Sunday
0,6279295d9449e99793b99212,ח3,03/04/2022,גיא דהן,"תנ""ך",home,אלעד דהן,08:41,Sunday
0,6279295d9449e99793b99216,ח1,03/04/2022,אגם בוחבוט,היסטוריה,present,שלי מיכאלאשוילי,10:25,Sunday
0,6279295d9449e99793b99218,ח1,03/04/2022,אנג׳לינה ג׳ולי,היסטוריה,present,שלי מיכאלאשוילי,10:25,Sunday
0,6279295d9449e99793b99215,ח3,03/04/2022,עדן דדון,"תנ""ך",home,אלעד דהן,08:41,Sunday
0,6279295d9449e99793b99214,ח3,03/04/2022,נופר צדפיה,"תנ""ך",present,אלעד דהן,08:41,Sunday
0,6279295d9449e99793b99217,ח1,03/04/2022,אמבר הרד,היסטוריה,present,שלי מיכאלאשוילי,10:25,Sunday
0,6279295d9449e99793b99213,ח3,03/04/2022,דניאל אסייג,"תנ""ך",present,אלעד דהן,08:41,Sunday
0,6279295d9449e99793b99211,ח3,03/04/2022,ג׳ייסון סטטהם,"תנ""ך",present,אלעד דהן,08:41,Sunday
0,6279295d9449e99793b99221,ח2,03/04/2022,דודו אהרון,ערבית,present,ליאור סבוני,10:26,Sunday
0,6279295d9449e99793b9921c,ח1,03/04/2022,סיטארה אלייב,היסטוריה,present,שלי מיכאלאשוילי,10:25,Sunday
0,6279295d9449e99793b99220,ח2,03/04/2022,ג׳סטין ביבר,ערבית,present,ליאור סבוני,10:26,Sunday
0,6279295d9449e99793b9921f,ח1,03/04/2022,שקד בן חמו,היסטוריה,present,שלי מיכאלאשוילי,10:25,Sunday
0,6279295d9449e99793b9921a,ח1,03/04/2022,בר רפאלי,היסטוריה,present,שלי מיכאלאשוילי,10:25,Sunday
0,6279295d9449e99793b9921d,ח1,03/04/2022,עדן מוזס,היסטוריה,home,שלי מיכאלאשוילי,10:25,Sunday
